source,target,value,mapping,assetgroep
ad4.adres_tbl (60),ad5.adres_tbl (60),1,x_x,integraal
ad4.paalDraagconstructie_p (50695),ad5.afsluitpaal_p (2153),1,BGTPLUSTYPE_niet-bgt_afsluitpaal,wegkantsystemen
ad4.paalAfbakening_p (34245),ad5.afsluitpaal_p (2153),1,TYPESPEC_Afsluiter_schamppaal,wegkantsystemen
ad4.bak_p (994),ad5.afvalbak_p (963),1,BGTPLUSTYPE_niet-bgt_afvalbak_niet-bgt_ afval apartplaats,wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.akoestische_signaalgever_p (92),1,TYPESPEC_bel,ovl/vri
ad4.sensor_p (2001),ad5.antenne_p (92),1,TYPESPEC_Kar antenne,ovl/vri
ad4.kunstwerk_p (869),ad5.aquaduct_p (2),1,NENBEHEEROBJECT_Aquaducten,kunstwerken
ad4.straatmeubilairLichtpunt_p (25465),ad5.armatuur_p (25501),1,TYPESPEC_ARM_MU,ovl/vri
ad4.wegdeel_v (60933),ad5.asfaltverharding_v (40026),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,wegen
ad4.ondersteunendWegdeel_v (34754),ad5.asfaltverharding_v (40026),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,wegen
ad4.onbegroeidTerreindeel_v (10669),ad5.asfaltverharding_v (40026),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,wegen
ad4.weginrichtingselement_l (8250),ad5.balustrade_l (119),1,BGTPLUSTYPE_niet-bgt_balustrade,kunstwerken
ad4.weginrichtingselement_l (8250),ad5.band_l (4637),1,TYPESPEC_OPS,wegen
ad4.gebiedscontractregio_v (7),ad5.beheergebied_v (7),1,x_x,integraal
ad4.beheergrenzen_v (10),ad5.beheervak_v (10),1,x_x,integraal
ad4.overigBouwwerk_v (824),ad5.bergbezinkbassin_v (3),1,BGTPLUSTYPE_bezinkbak,vaarwegen
ad4.scheidingWater_l (11359),ad5.beschoeiing_l (6697),1,BGTPLUSTYPE_walbescherming,vaarwegen
ad4.kast_p (2249),ad5.besturingskast_p (71),1,TYPESPEC_Rioolpompkast,ovl/vri
ad4.straatmeubilair_p (6902),ad5.betaalautomaat_p (9),1,TYPESPEC_Betaalautomaat,wegkantsystemen
ad4.waterinrichtingselement_p (2466),ad5.betonning_p (87),1,TYPESPEC_Baken,vaarwegen
ad4.ondersteunendWegdeel_v (34754),ad5.betonverharding_v (4279),1,FYSIEKVOORKOMEN_gesloten verharding_cementbeton,wegen
ad4.wegdeel_v (60933),ad5.betonverharding_v (4279),1,FYSIEKVOORKOMEN_gesloten verharding_cementbeton,wegen
ad4.onbegroeidTerreindeel_v (10669),ad5.betonverharding_v (4279),1,FYSIEKVOORKOMEN_gesloten verharding_cementbeton,wegen
ad4.kunstwerk_p (869),ad5.beweegbarebrug_p (88),1,NENBEHEEROBJECT_Bruggen beweegbaar,kunstwerken
ad4.weginrichtingselement_p (6559),ad5.blok_p (6575),1,TYPESPEC_schampblok,wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.bolder_p (5628),1,TYPESPEC_Bolder,wegkantsystemen
ad4.vegetatieObject_p (47070),ad5.boom_p (47070),1,x_x,groen
ad4.vegetatieobject_v (210),ad5.boomspiegel_v (202),1,TYPESPEC_Boomspiegel,groen
ad4.gebouwInstallatie_v (6),ad5.bordes_v (0),1,BGTPLUSTYPE_niet-bgt_bordes,kunstwerken
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.bos_v (660),1,FYSIEKVOORKOMEN_gemengd bos_loofbos_loofbos_griend en hakhout_naaldbos,groen
