source,target,value,mapping,assetgroep
ad4.kleineHalteDisplay_p (44),ad5.informatiepaneel_p (443),1,x_x,wegkantsystemen
ad4.kruispunt_p (808),ad5.kruispunt_p (808),1,x_x,integraal
ad4.kunstwerk_p (869),ad5.sluiscomplex_p (15),1,NENBEHEEROBJECT_Schutsluizen,kunstwerken
ad4.kunstwerk_p (869),ad5.neninspectie_tbl (95278),1,x_x,kunstwerken
ad4.kunstwerk_p (869),ad5.tunnel_p (3),1,NENBEHEEROBJECT_Tunnels,kunstwerken
ad4.kunstwerk_p (869),ad5.veerverbinding_p (5),1,NENBEHEEROBJECT_Recreatieve gebieden,kunstwerken
ad4.kunstwerk_p (869),ad5.onderdoorgang_p (113),1,NENBEHEEROBJECT_Onderdoorgangen,kunstwerken
ad4.kunstwerk_p (869),ad5.gemaalcomplex_p (3),1,NENBEHEEROBJECT_Gemalen,kunstwerken
ad4.kunstwerk_p (869),ad5.overigkunstwerk_p (21),1,NENBEHEEROBJECT_Spoorwegen_Grondkeringen_Faunatunnel_Onbekend_Wateren en watergangen niet lijnvormig_ overig,kunstwerken
ad4.kunstwerk_p (869),ad5.vastebrug_p (210),1,NENBEHEEROBJECT_Bruggen vast,kunstwerken
ad4.kunstwerk_p (869),ad5.aquaduct_p (2),1,NENBEHEEROBJECT_Aquaducten,kunstwerken
ad4.kunstwerk_p (869),ad5.duiker_p (261),1,NENBEHEEROBJECT_Duikers_Overkluizingen_Sifons,kunstwerken
ad4.kunstwerk_p (869),ad5.ecoduct_p (6),1,NENBEHEEROBJECT_Ecoducten,kunstwerken
ad4.kunstwerk_p (869),ad5.viaduct_p (133),1,BEHEEROBJECTSUBTYP_HA_VD,kunstwerken
ad4.kunstwerk_p (869),ad5.beweegbarebrug_p (88),1,NENBEHEEROBJECT_Bruggen beweegbaar,kunstwerken
ad4.kunstwerk_p (869),ad5.flyover_p (9),1,BEHEEROBJECTSUBTYP_Fly-over,kunstwerken
