source,target,value,mapping,assetgroep
ad4.wegdeel_v (61153),ad5.elementenverharding_v (27429),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,wegen
ad4.ecopassage_l (197),ad5.faunameubilair_l (329),1,TYPESPEC_Loopplank onder brug,groen
ad4.scheidingGeleidewand_l (307),ad5.faunameubilair_l (329),1,x_x,groen
ad4.ecopassage_l (197),ad5.faunaverblijfplaats_p (1),1,TYPESPEC_Vleermuisbunker,groen
ad4.ecopassage_l (197),ad5.faunavoorziening_l (174),1,TYPESPEC_Amfibie_ntunnel_Boombrug_brug of viaduct met faunavoorziening_Duiker_ Looprichel_ecoduiker _ duiker met faunavoorziening_kleine faunatunnel_Looprichel_Onduidelijk_Overig_Overige faunatunnel_tunnel _ viaduct met medegebruik fauna,groen
ad4.kunstwerkdeel_v (3794),ad5.faunavoorziening_v (53),1,BGTPLUSTYPE_niet-bgt_faunavoorziening,groen
ad4.fietsparkeervoorziening_l (776),ad5.fietsparkeervoorziening_l (776),1,x_x,wegen
ad4.straatmeubilair_p (6902),ad5.fietsparkeervoorziening_p (133),1,TYPESPEC_fietsenrek,wegen
ad4.kunstwerk_p (869),ad5.flyover_p (9),1,BEHEEROBJECTSUBTYP_Fly-over,kunstwerken
ad4.kunstwerkdeel_v (3794),ad5.folie_v (3),1,BGTPLUSTYPE_niet-bgt,kunstwerken
ad4.kunstwerkdeel_v (3794),ad5.folie_v (3),1,TYPESPEC_Folie,kunstwerken
ad4.straatmeubilair_p (6902),ad5.fontein_p (1),1,TYPESPEC_Fontein,wegen
ad4.begroeidTerreindeel_v (3880),ad5.fruit_of_kweekbomen_v (38),1,FYSIEKVOORKOMEN_fruitteelt_boomteelt_fruitteelt_hoogstam boomgaarden_fruitteelt_laagstam boomgaarden_fruitteelt_wijngaarden_fruitteelt_klein fruit,groen
ad4.kast_p (2248),ad5.gaskast_p (78),1,TYPESPEC_Gaskast,overig
ad4.put_p (1278),ad5.gasput_p (12),1,BGTPLUSTYPE_niet-bgt_gasput,overig
ad4.faunavoorziening_v (82),ad5.gebied_faunavoorziening_v (82),1,x_x,groen
ad4.overigBouwwerk_v (856),ad5.gebouw_v (5730),1,BGTPLUSTYPE_niet-bgt_bunker_niet-bgt_schuur_lage trafo,overig
ad4.pand_v (5350),ad5.gebouw_v (5730),1,x_x,overig
ad4.weginrichtingselement_l (8273),ad5.geleideconstructie_l (2709),1,TYPESPEC_GR_VC_MSB,wegen
ad4.weginrichtingselement_v (48),ad5.geleideconstructie_v (25),1,TYPESPEC_Barrier,wegen
ad4.waterinrichtingselement_l (718),ad5.geleidewerk_l (416),1,BGTPLUSTYPE_niet-bgt_geleidewerk,vaarwegen
ad4.scheidingGeluidsscherm_l (486),ad5.geluidsscherm_l (486),1,x_x,kunstwerken
ad4.geluidwerendeVoorziening_l (196),ad5.geluidwerendeconstructie_l (196),1,x_x,kunstwerken
ad4.kunstwerkdeel_v (3794),ad5.gemaal_v (130),1,BGTPLUSTYPE_gemaal,kunstwerken
ad4.kunstwerk_p (869),ad5.gemaalcomplex_p (3),1,NENBEHEEROBJECT_Gemalen,kunstwerken
ad4.ondersteunendWaterdeel_v (16117),ad5.getijdengebied_v (0),1,BGTPLUSTYPE_slik,vaarwegen
ad4.kast_p (2248),ad5.gms_kast_p (38),1,TYPESPEC_GMS-kast,elektrotechniek
ad4.sensor_p (1996),ad5.gms_sensor_p (150),1,TYPESPEC_GMS-sensor geleiding_GMS-sensor temperatuur,elektrotechniek
ad4.begroeidTerreindeel_v (3880),ad5.gras_en_kruidachtigen_v (37287),1,FYSIEKVOORKOMEN_grasland agrarisch_grasland overig_groenvoorziening_gras- en kruidachtigen,groen
ad4.begroeidTerreindeelBerm_v (15658),ad5.gras_en_kruidachtigen_v (37287),1,FYSIEKVOORKOMEN_grasland agrarisch_grasland overig_groenvoorziening_gras- en kruidachtigen,groen
ad4.ondersteunendWegdeel_v (34770),ad5.gras_en_kruidachtigen_v (37287),1,FYSIEKVOORKOMEN_groenvoorziening_gras- en kruidachtigen,groen
ad4.vegetatieobject_v (210),ad5.groeiplaats_v (7),1,TYPESPEC_Groeiplaatsinrichting,groen
ad4.begroeidTerreindeelBerm_v (15658),ad5.groenobject_v (4262),1,FYSIEKVOORKOMEN_groenvoorziening,groen
ad4.ondersteunendWegdeel_v (34770),ad5.groenobject_v (4262),1,FYSIEKVOORKOMEN_groenvoorziening,groen
ad4.vegetatieObject_l (1302),ad5.haag_l (1302),1,BGTPLUSTYPE_niet-bgt_haag,groen
ad4.vegetatieObject_v (210),ad5.haag_v (1),1,TYPESPEC_Haag,groen
ad4.onbegroeidTerreindeel_v (10729),ad5.halfverharding_v (1909),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,wegen
ad4.ondersteunendWegdeel_v (34770),ad5.halfverharding_v (1909),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,wegen
ad4.wegdeel_v (61153),ad5.halfverharding_v (1909),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,wegen
ad4.halte_v (395),ad5.halteplaats_v (395),1,x_x,wegen
ad4.sensor_p (1996),ad5.handhavingssysteem_p (20),1,TYPESPEC_Detectie_ flitspaal,elektrotechniek
ad4.begroeidTerreindeelPlantvak_v (4558),ad5.heide_v (29),1,FYSIEKVOORKOMEN_heide,groen
ad4.scheidingLand_l (12415),ad5.hek_l (11656),1,BGTPLUSTYPE_hek_niet-bgt_draadraster_niet-bgt,wegen
ad4.straatmeubilair_p (6902),ad5.herdenkingsmonument_p (50),1,TYPESPEC_Herdenkingsmonument,wegen
ad4.straatmeubilair_p (6902),ad5.hijsinrichting_p (1),1,TYPESPEC_Bootkraan prive,vaarwegen
ad4.kunstwerkdeel_mp (10),ad5.hoogspanningsmast_mp (10),1,BGTPLUSTYPE_hoogspanningsmast,overig
ad4.kunstwerkdeel_v (3794),ad5.hoogspanningsmast_v (3),1,BGTPLUSTYPE_hoogspanningsmast,overig
ad4.waterinrichtingselement_p (2466),ad5.hoogtemerk_p (4),1,TYPESPEC_Hoogtemerk,kunstwerken
ad4.begroeidTerreindeel_v (3880),ad5.houtwal_v (152),1,FYSIEKVOORKOMEN_houtwal,groen
ad4.bord_p (38998),ad5.informatiebord_p (1330),1,BGTPLUSTYPE_niet-bgt_informatiebord,overig
ad4.bordScheepvaart_p (1671),ad5.informatiebord_p (1330),1,TYPESPEC_Informatiebord,overig
ad4.bordZwemwater_p (340),ad5.informatiebord_p (1330),1,x_x,overig
ad4.bord_p (38998),ad5.informatiepaneel_p (443),1,BGTPLUSTYPE_niet-bgt_dynamische snelheidsindicator,wegen
ad4.bordDRIS_p (240),ad5.informatiepaneel_p (443),1,x_x,wegen
ad4.kleineHalteDisplay_p (44),ad5.informatiepaneel_p (443),1,x_x,wegen
ad4.bord_p (38998),ad5.kabels_en_leidingenbord_p (1681),1,BGTPLUSTYPE_niet-bgt_verklikker transportleiding,overig
ad4.bordScheepvaart_p (1671),ad5.kabels_en_leidingenbord_p (1681),1,TYPESPEC_bord kabels_leidingen,overig
ad4.scheidingWater_l (11356),ad5.kademuur_l (293),1,BGTPLUSTYPE_kademuur,vaarwegen
ad4.scheiding_v (5061),ad5.kademuur_v (950),1,BGTPLUSTYPE_kademuur,vaarwegen
ad4.kast_p (2248),ad5.kast_p (747),1,TYPESPEC_Kast_ onbekend_OV,elektrotechniek
ad4.leidingelement_p (26187),ad5.kolk_p (16171),1,TYPESPEC_Kolk_RWS kolk_Straatkolk_Trottoirkolk_Rioolleidingelement_ onbekend,wegen
