source,target,value,mapping
ad4.perron_v (442),ad5.perron_v (442),1,x_x,Wegen
ad4.kunstwerkdeel_v (3773),ad5.perron_v (442),1,BGTPLUSTYPE_perron,Wegen
ad4.overbruggingsdeel_v (2909),ad5.pijler_v (1041),1,TYPEOVERBRUGGINGSDEEL_pijler,Kunstwerken
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.planten_v (696),1,FYSIEKVOORKOMEN_groenvoorziening_planten,Groen
ad4.ondersteunendWegdeel_v (34754),ad5.planten_v (696),1,FYSIEKVOORKOMEN_groenvoorziening_planten,Groen
ad4.plaaginvasiesoortInspectie_p (151),ad5.plantensoortlocatie_p (151),1,x_x,Groen
ad4.paalDraagconstructie_p (50695),ad5.poller_p (19),1,BGTPLUSTYPE_niet-bgt_poller,Wegkantsystemen
ad4.paalAfbakening_p (34245),ad5.poller_p (19),1,TYPESPEC_Poller,Wegkantsystemen
ad4.installatie_p (296),ad5.pomp_p (261),1,BGTPLUSTYPE_niet-bgt_pomp,OVL/VRI
ad4.kunstwerkdeel_v (3773),ad5.ponton_v (1),1,BGTPLUSTYPE_niet-bgt_ponton,Kunstwerken
ad4.uitleggerPortaal_l (911),ad5.portaal_l (911),1,TYPESPEC_Portaal,Wegkantsystemen
ad4.ondersteunendWegdeelKruin_l (2205),ad5.profiellijn_l (3605),1,x_x,Wegen
ad4.begroeidTerreindeelPlKr_l (199),ad5.profiellijn_l (3605),1,x_x,Wegen
ad4.begroeidTerreindeelBermKr_l (1022),ad5.profiellijn_l (3605),1,x_x,Wegen
ad4.onbegroeidTerreindeelKruin_l (111),ad5.profiellijn_l (3605),1,x_x,Wegen
ad4.wegdeelKruin_l (10),ad5.profiellijn_l (3605),1,x_x,Wegen
ad4.begroeidTerreindeelKruin_l (58),ad5.profiellijn_l (3605),1,x_x,Wegen
ad4.overbruggingsdeel_v (2909),ad5.pyloon_v (28),1,TYPEOVERBRUGGINGSDEEL_pyloon,Kunstwerken
ad4.sensor_p (2001),ad5.rateltikker_p (15),1,TYPESPEC_Rateltikker,OVL/VRI
ad4.bord_p (36860),ad5.reclamebord_p (91),1,BGTPLUSTYPE_niet-bgt_reclamebord,Wegkantsystemen
ad4.waterinrichtingselement_l (718),ad5.remmingswerk_l (300),1,BGTPLUSTYPE_niet-bgt_remmingswerk,Vaarwegen
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.rietland_v (337),1,FYSIEKVOORKOMEN_rietland,Groen
ad4.weginrichtingselement_l (8250),ad5.rijstrookscheiding_l (79),1,TYPESPEC_VRBS,Wegen
ad4.leidingelement_p (26119),ad5.rioolafsluiter_p (8),1,TYPESPEC_cleanOut,Bodem
ad4.put_p (1278),ad5.rioolput_p (545),1,BGTPLUSTYPE_niet-bgt_inspectie- _ rioolput,Bodem
ad4.leidingelement_p (26119),ad5.rioolput_p (545),1,TYPESPEC_Inspectieput,Bodem
ad4.straatmeubilair_p (6902),ad5.rookpaal_p (0),1,TYPESPEC_Peukenpaal,Wegkantsystemen
ad4.weginrichtingselement_v (46),ad5.rooster_v (16),1,TYPESPEC_Wildrooster_Rooster,Wegen
ad4.bordScheepvaart_p (1662),ad5.scheepvaartbord_p (1495),1,TYPESPEC_BPR bord_Route verwijsbord,Wegkantsystemen
ad4.paalAfbakening_p (34245),ad5.scheepvaartbord_p (1495),1,TYPESPEC_hectometerbord_scheepvaart,Wegkantsystemen
ad4.paalDraagconstructie_p (50695),ad5.sirene_p (1),1,BGTPLUSTYPE_niet-bgt_sirene,OVL/VRI
ad4.kast_p (2249),ad5.slagboominstallatie_p (362),1,TYPESPEC_Slagboomkast,OVL/VRI
ad4.straatmeubilair_p (6902),ad5.slagboominstallatie_p (362),1,TYPESPEC_Slagboom,OVL/VRI
ad4.overbruggingsdeel_v (2909),ad5.sloof_v (49),1,TYPEOVERBRUGGINGSDEEL_sloof,Kunstwerken
ad4.kunstwerk_p (869),ad5.sluiscomplex_p (15),1,NENBEHEEROBJECT_Schutsluizen,Kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.sluisdeur_v (58),1,BGTPLUSTYPE_sluis,Kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.steiger_v (1680),1,BGTPLUSTYPE_steiger,Kunstwerken
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.struiken_v (1064),1,FYSIEKVOORKOMEN_groenvoorziening_bodembedekkers_groenvoorziening_heesters_groenvoorziening_struikrozen_struiken,Groen
ad4.ondersteunendWegdeel_v (34754),ad5.struiken_v (1064),1,FYSIEKVOORKOMEN_groenvoorziening_bodembedekkers_groenvoorziening_heesters_groenvoorziening_struikrozen,Groen
ad4.kunstwerkdeel_l (2556),ad5.stuw_l (292),1,BGTPLUSTYPE_stuw,Kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.stuw_v (256),1,BGTPLUSTYPE_stuw,Kunstwerken
ad4.straatmeubilair_p (6902),ad5.tafel_p (13),1,TYPESPEC_Picknick tafel,Wegkantsystemen
ad4.kastDRIS_p (5),ad5.telecomkast_p (514),1,x_x,OVL/VRI
ad4.kast_p (2249),ad5.telecomkast_p (514),1,TYPESPEC_Schakelkast PTT,OVL/VRI
