source,target,value,mapping,assetgroep
ad4.elementOevervak_tbl (15516),ad5.oeverelement_tbl (0),1,x_x,Overig
ad4.oevervak_v (6921),ad5.oeverzone_v (0),1,x_x,Overig
ad4.kunstwerk_p (869),ad5.onderdoorgang_p (0),1,NENBEHEEROBJECT_Onderdoorgangen,Overig
ad4.ondersteunendWegdeel_v (34754),ad5.onverhard_v (0),1,FYSIEKVOORKOMEN_onverhard_onverhard_boomschors_onverhard_zand,Overig
ad4.wegdeel_v (60933),ad5.onverhard_v (0),1,FYSIEKVOORKOMEN_onverhard_onverhard_boomschors_onverhard_zand,Overig
ad4.onbegroeidTerreindeel_v (10669),ad5.onverhard_v (0),1,FYSIEKVOORKOMEN_onverhard_onverhard_boomschors_onverhard_zand,Overig
ad4.overigBouwwerk_v (824),ad5.open_loods_v (0),1,BGTPLUSTYPE_open loods,Overig
ad4.bak_p (994),ad5.opslagbak_p (0),1,BGTPLUSTYPE_niet-bgt_zand- _ zoutbak,Overig
ad4.overigBouwwerk_v (824),ad5.opslagtank_v (0),1,BGTPLUSTYPE_opslagtank,Overig
ad4.overbruggingsdeel_v (2909),ad5.overbruggingsdeel_v (0),1,TYPEOVERBRUGGINGSDEEL_Null,Overig
ad4.overigBouwwerk_v (824),ad5.overigbouwwerk_v (0),1,BGTPLUSTYPE_niet-bgt,Overig
ad4.kunstwerk_p (869),ad5.overigkunstwerk_p (0),1,NENBEHEEROBJECT_Spoorwegen_Grondkeringen_Faunatunnel_Onbekend_Wateren en watergangen niet lijnvormig_ overig,Overig
ad4.overigBouwwerk_v (824),ad5.overkapping_v (0),1,BGTPLUSTYPE_overkapping,Overig
ad4.kastOvl_p (609),ad5.ovl_kast_p (0),1,x_x,Overig
ad4.paalDraagconstructie_p (50695),ad5.paal_p (0),1,BGTPLUSTYPE_niet-bgt_haltepaal_niet-bgt_lichtmast_niet-bgt_verkeersbordpaal_niet-bgt_verkeersregelinstallatiepaal_niet-bgt_portaal_niet-bgt,Overig
ad4.paalAfbakening_p (34245),ad5.paal_p (0),1,TYPESPEC_Paal,Overig
ad4.mast_p (3),ad5.paal_p (0),1,BGTPLUSTYPE_niet-bgt_laagspanningsmast,Overig
ad4.pandHuisnummerreeks_t (4141),ad5.pand_huisnummerreeks_t (0),1,x_x,Overig
ad4.peilbuis_p (666),ad5.peilbuis_p (0),1,x_x,Overig
ad4.perron_v (442),ad5.perron_v (0),1,x_x,Overig
ad4.kunstwerkdeel_v (3773),ad5.perron_v (0),1,BGTPLUSTYPE_perron,Overig
ad4.overbruggingsdeel_v (2909),ad5.pijler_v (0),1,TYPEOVERBRUGGINGSDEEL_pijler,Overig
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.planten_v (0),1,FYSIEKVOORKOMEN_groenvoorziening_planten,Overig
ad4.ondersteunendWegdeel_v (34754),ad5.planten_v (0),1,FYSIEKVOORKOMEN_groenvoorziening_planten,Overig
ad4.plaaginvasiesoortInspectie_p (151),ad5.plantensoortlocatie_p (0),1,x_x,Overig
ad4.paalDraagconstructie_p (50695),ad5.poller_p (0),1,BGTPLUSTYPE_niet-bgt_poller,Overig
ad4.paalAfbakening_p (34245),ad5.poller_p (0),1,TYPESPEC_Poller,Overig
ad4.installatie_p (296),ad5.pomp_p (0),1,BGTPLUSTYPE_niet-bgt_pomp,Overig
ad4.kunstwerkdeel_v (3773),ad5.ponton_v (0),1,BGTPLUSTYPE_niet-bgt_ponton,Overig
ad4.uitleggerPortaal_l (911),ad5.portaal_l (0),1,TYPESPEC_Portaal,Overig
ad4.wegdeelKruin_l (10),ad5.profiellijn_l (0),1,x_x,Overig
ad4.onbegroeidTerreindeelKruin_l (111),ad5.profiellijn_l (0),1,x_x,Overig
ad4.begroeidTerreindeelKruin_l (58),ad5.profiellijn_l (0),1,x_x,Overig
ad4.begroeidTerreindeelBermKr_l (1022),ad5.profiellijn_l (0),1,x_x,Overig
ad4.begroeidTerreindeelPlKr_l (199),ad5.profiellijn_l (0),1,x_x,Overig
ad4.ondersteunendWegdeelKruin_l (2205),ad5.profiellijn_l (0),1,x_x,Overig
ad4.overbruggingsdeel_v (2909),ad5.pyloon_v (0),1,TYPEOVERBRUGGINGSDEEL_pyloon,Overig
